Model,Train_Accuracy,Train_F1,Test_Accuracy,Test_F1,Train_Precision,Test_Precision,Train_Recall,Test_Recall
RuBERT,0.7486991123354759,0.7552905622412761,0.7490820073439413,0.7548644250768014,0.7814628213930255,0.7823098024587277,0.7486991123354759,0.7490820073439413
TF-IDF + LogReg,0.7491582491582491,0.7550559426991453,0.7447980416156671,0.7508565789855508,0.7777218363744907,0.7779391780132875,0.7491582491582491,0.7447980416156671
FastText,0.724211815120906,0.7373972062391018,0.7276621787025703,0.7402364712160847,0.8353017594164047,0.8297504492409848,0.724211815120906,0.7276621787025703
